date, timestamp, heart rate
2015-09-12 21:30:10 +0000, 00:00:06, 81
2015-09-12 21:30:11 +0000, 00:00:07, 79
2015-09-12 21:30:12 +0000, 00:00:08, 78
2015-09-12 21:30:13 +0000, 00:00:09, 79
2015-09-12 21:30:14 +0000, 00:00:10, 78
2015-09-12 21:30:15 +0000, 00:00:11, 78
2015-09-12 21:30:16 +0000, 00:00:12, 78
2015-09-12 21:30:17 +0000, 00:00:13, 77
2015-09-12 21:30:18 +0000, 00:00:14, 76
2015-09-12 21:30:19 +0000, 00:00:15, 76
2015-09-12 21:30:20 +0000, 00:00:16, 76
2015-09-12 21:30:21 +0000, 00:00:17, 76
2015-09-12 21:30:22 +0000, 00:00:18, 76
2015-09-12 21:30:23 +0000, 00:00:19, 76
2015-09-12 21:30:24 +0000, 00:00:20, 77
2015-09-12 21:30:25 +0000, 00:00:21, 77
2015-09-12 21:30:26 +0000, 00:00:22, 80
2015-09-12 21:30:27 +0000, 00:00:23, 83
2015-09-12 21:30:28 +0000, 00:00:24, 88
2015-09-12 21:30:29 +0000, 00:00:25, 92
2015-09-12 21:30:30 +0000, 00:00:26, 95
2015-09-12 21:30:31 +0000, 00:00:27, 96
2015-09-12 21:30:32 +0000, 00:00:28, 98
2015-09-12 21:30:33 +0000, 00:00:29, 98
2015-09-12 21:30:34 +0000, 00:00:30, 98
2015-09-12 21:30:35 +0000, 00:00:31, 97
2015-09-12 21:30:36 +0000, 00:00:32, 95
2015-09-12 21:30:37 +0000, 00:00:33, 93
2015-09-12 21:30:38 +0000, 00:00:34, 89
2015-09-12 21:30:39 +0000, 00:00:35, 88
2015-09-12 21:30:40 +0000, 00:00:36, 86
2015-09-12 21:30:41 +0000, 00:00:37, 85
2015-09-12 21:30:42 +0000, 00:00:38, 83
2015-09-12 21:30:44 +0000, 00:00:39, 81
2015-09-12 21:30:44 +0000, 00:00:40, 81
2015-09-12 21:30:45 +0000, 00:00:41, 81
2015-09-12 21:30:46 +0000, 00:00:42, 79
2015-09-12 21:30:47 +0000, 00:00:43, 79
2015-09-12 21:30:48 +0000, 00:00:44, 78
2015-09-12 21:30:50 +0000, 00:00:45, 79
2015-09-12 21:30:50 +0000, 00:00:46, 79
2015-09-12 21:30:51 +0000, 00:00:47, 78
2015-09-12 21:30:52 +0000, 00:00:48, 78
2015-09-12 21:30:53 +0000, 00:00:49, 77
2015-09-12 21:30:54 +0000, 00:00:50, 76
2015-09-12 21:30:55 +0000, 00:00:51, 76
2015-09-12 21:30:56 +0000, 00:00:52, 75
2015-09-12 21:30:57 +0000, 00:00:53, 76
2015-09-12 21:30:58 +0000, 00:00:54, 75
2015-09-12 21:30:59 +0000, 00:00:55, 75
2015-09-12 21:31:01 +0000, 00:00:56, 74
2015-09-12 21:31:01 +0000, 00:00:57, 74
2015-09-12 21:31:03 +0000, 00:00:58, 73
2015-09-12 21:31:04 +0000, 00:00:59, 73
2015-09-12 21:31:05 +0000, 00:01:00, 71
2015-09-12 21:31:06 +0000, 00:01:01, 71
2015-09-12 21:31:07 +0000, 00:01:02, 70
2015-09-12 21:31:08 +0000, 00:01:03, 70
2015-09-12 21:31:09 +0000, 00:01:04, 70
2015-09-12 21:31:10 +0000, 00:01:05, 70
2015-09-12 21:31:11 +0000, 00:01:06, 70
2015-09-12 21:31:12 +0000, 00:01:07, 69
2015-09-12 21:31:13 +0000, 00:01:08, 70
2015-09-12 21:31:14 +0000, 00:01:09, 70
2015-09-12 21:31:15 +0000, 00:01:10, 69
2015-09-12 21:31:16 +0000, 00:01:11, 69
2015-09-12 21:31:17 +0000, 00:01:12, 69
2015-09-12 21:31:18 +0000, 00:01:13, 69
2015-09-12 21:31:19 +0000, 00:01:14, 70
2015-09-12 21:31:20 +0000, 00:01:15, 71
2015-09-12 21:31:21 +0000, 00:01:16, 71
2015-09-12 21:31:22 +0000, 00:01:18, 71
2015-09-12 21:31:23 +0000, 00:01:18, 71
2015-09-12 21:31:23 +0000, 00:01:19, 71
2015-09-12 21:31:24 +0000, 00:01:20, 73
2015-09-12 21:31:25 +0000, 00:01:21, 73
2015-09-12 21:31:26 +0000, 00:01:22, 75
2015-09-12 21:31:27 +0000, 00:01:23, 76
2015-09-12 21:31:28 +0000, 00:01:24, 76
2015-09-12 21:31:29 +0000, 00:01:25, 77
2015-09-12 21:31:30 +0000, 00:01:26, 78
2015-09-12 21:31:31 +0000, 00:01:27, 80
2015-09-12 21:31:32 +0000, 00:01:28, 83
2015-09-12 21:31:33 +0000, 00:01:29, 86
2015-09-12 21:31:34 +0000, 00:01:30, 90
2015-09-12 21:31:35 +0000, 00:01:31, 91
2015-09-12 21:31:36 +0000, 00:01:32, 92
2015-09-12 21:31:37 +0000, 00:01:33, 92
2015-09-12 21:31:38 +0000, 00:01:34, 91
2015-09-12 21:31:39 +0000, 00:01:35, 91
2015-09-12 21:31:40 +0000, 00:01:36, 90
2015-09-12 21:31:41 +0000, 00:01:37, 89
2015-09-12 21:31:42 +0000, 00:01:38, 87
2015-09-12 21:31:43 +0000, 00:01:39, 86
2015-09-12 21:31:44 +0000, 00:01:40, 86
2015-09-12 21:31:45 +0000, 00:01:41, 85
2015-09-12 21:31:46 +0000, 00:01:42, 85
2015-09-12 21:31:47 +0000, 00:01:43, 85
2015-09-12 21:31:48 +0000, 00:01:44, 85
2015-09-12 21:31:49 +0000, 00:01:45, 85
2015-09-12 21:31:50 +0000, 00:01:46, 85
2015-09-12 21:31:51 +0000, 00:01:47, 86
2015-09-12 21:31:53 +0000, 00:01:49, 86
2015-09-12 21:31:53 +0000, 00:01:49, 86
2015-09-12 21:31:54 +0000, 00:01:50, 85
2015-09-12 21:31:55 +0000, 00:01:51, 85
2015-09-12 21:31:56 +0000, 00:01:52, 86
2015-09-12 21:31:57 +0000, 00:01:53, 86
2015-09-12 21:31:58 +0000, 00:01:54, 87
2015-09-12 21:31:59 +0000, 00:01:55, 88
2015-09-12 21:32:00 +0000, 00:01:56, 87
2015-09-12 21:32:01 +0000, 00:01:57, 87
2015-09-12 21:32:02 +0000, 00:01:58, 86
2015-09-12 21:32:03 +0000, 00:01:59, 85
2015-09-12 21:32:04 +0000, 00:02:00, 85
2015-09-12 21:32:05 +0000, 00:02:01, 84
2015-09-12 21:32:06 +0000, 00:02:02, 82
2015-09-12 21:32:07 +0000, 00:02:03, 79
2015-09-12 21:32:08 +0000, 00:02:04, 78
2015-09-12 21:32:09 +0000, 00:02:05, 77
2015-09-12 21:32:10 +0000, 00:02:06, 76
2015-09-12 21:32:11 +0000, 00:02:07, 76
2015-09-12 21:32:12 +0000, 00:02:08, 75
2015-09-12 21:32:14 +0000, 00:02:09, 74
2015-09-12 21:32:15 +0000, 00:02:10, 73
2015-09-12 21:32:15 +0000, 00:02:11, 72
2015-09-12 21:32:16 +0000, 00:02:12, 72
2015-09-12 21:32:17 +0000, 00:02:13, 72
2015-09-12 21:32:18 +0000, 00:02:14, 72
2015-09-12 21:32:19 +0000, 00:02:15, 72
2015-09-12 21:32:20 +0000, 00:02:16, 72
2015-09-12 21:32:21 +0000, 00:02:17, 76
2015-09-12 21:32:22 +0000, 00:02:18, 80
2015-09-12 21:32:23 +0000, 00:02:19, 80
2015-09-12 21:32:24 +0000, 00:02:20, 80
2015-09-12 21:32:25 +0000, 00:02:21, 80
2015-09-12 21:32:26 +0000, 00:02:22, 79
2015-09-12 21:32:27 +0000, 00:02:23, 76
2015-09-12 21:32:28 +0000, 00:02:24, 75
2015-09-12 21:32:29 +0000, 00:02:25, 74
2015-09-12 21:32:30 +0000, 00:02:26, 73
2015-09-12 21:32:31 +0000, 00:02:27, 73
2015-09-12 21:32:32 +0000, 00:02:28, 72
2015-09-12 21:32:33 +0000, 00:02:29, 70
2015-09-12 21:32:34 +0000, 00:02:30, 69
2015-09-12 21:32:35 +0000, 00:02:31, 68
2015-09-12 21:32:36 +0000, 00:02:32, 67
2015-09-12 21:32:37 +0000, 00:02:33, 66
2015-09-12 21:32:39 +0000, 00:02:34, 65
2015-09-12 21:32:39 +0000, 00:02:35, 65
2015-09-12 21:32:40 +0000, 00:02:36, 64
2015-09-12 21:32:41 +0000, 00:02:37, 64
2015-09-12 21:32:43 +0000, 00:02:38, 64
2015-09-12 21:32:43 +0000, 00:02:39, 63
2015-09-12 21:32:44 +0000, 00:02:40, 63
2015-09-12 21:32:45 +0000, 00:02:41, 63
2015-09-12 21:32:47 +0000, 00:02:42, 65
2015-09-12 21:32:47 +0000, 00:02:43, 65
2015-09-12 21:32:48 +0000, 00:02:44, 66
2015-09-12 21:32:49 +0000, 00:02:45, 66
2015-09-12 21:32:50 +0000, 00:02:46, 66
2015-09-12 21:32:51 +0000, 00:02:47, 66
2015-09-12 21:32:52 +0000, 00:02:48, 66
2015-09-12 21:32:53 +0000, 00:02:49, 66
2015-09-12 21:32:54 +0000, 00:02:50, 66
2015-09-12 21:32:55 +0000, 00:02:51, 66
2015-09-12 21:32:56 +0000, 00:02:52, 67
2015-09-12 21:32:57 +0000, 00:02:53, 68
2015-09-12 21:32:58 +0000, 00:02:54, 70
2015-09-12 21:32:59 +0000, 00:02:55, 70
2015-09-12 21:33:01 +0000, 00:02:56, 69
2015-09-12 21:33:01 +0000, 00:02:57, 68
2015-09-12 21:33:02 +0000, 00:02:58, 68
2015-09-12 21:33:03 +0000, 00:02:59, 67
2015-09-12 21:33:04 +0000, 00:03:00, 66
2015-09-12 21:33:06 +0000, 00:03:01, 66
2015-09-12 21:33:06 +0000, 00:03:02, 66
2015-09-12 21:33:07 +0000, 00:03:03, 65
2015-09-12 21:33:08 +0000, 00:03:04, 66
2015-09-12 21:33:10 +0000, 00:03:05, 66
2015-09-12 21:33:10 +0000, 00:03:06, 67
2015-09-12 21:33:11 +0000, 00:03:07, 69
2015-09-12 21:33:12 +0000, 00:03:08, 72
2015-09-12 21:33:14 +0000, 00:03:09, 72
2015-09-12 21:33:14 +0000, 00:03:10, 71
2015-09-12 21:33:15 +0000, 00:03:11, 71
2015-09-12 21:33:17 +0000, 00:03:12, 70
2015-09-12 21:33:17 +0000, 00:03:13, 70
2015-09-12 21:33:18 +0000, 00:03:14, 71
2015-09-12 21:33:19 +0000, 00:03:15, 72
2015-09-12 21:33:20 +0000, 00:03:16, 73
2015-09-12 21:33:21 +0000, 00:03:17, 75
2015-09-12 21:33:22 +0000, 00:03:18, 79
2015-09-12 21:33:23 +0000, 00:03:19, 82
2015-09-12 21:33:24 +0000, 00:03:20, 86
2015-09-12 21:33:25 +0000, 00:03:21, 90
2015-09-12 21:33:26 +0000, 00:03:22, 92
2015-09-12 21:33:27 +0000, 00:03:23, 94
2015-09-12 21:33:28 +0000, 00:03:24, 95
2015-09-12 21:33:29 +0000, 00:03:25, 95
2015-09-12 21:33:30 +0000, 00:03:26, 94
2015-09-12 21:33:31 +0000, 00:03:27, 93
2015-09-12 21:33:32 +0000, 00:03:28, 93
2015-09-12 21:33:33 +0000, 00:03:29, 93
2015-09-12 21:33:34 +0000, 00:03:30, 94
2015-09-12 21:33:35 +0000, 00:03:31, 94
2015-09-12 21:33:36 +0000, 00:03:32, 92
2015-09-12 21:33:37 +0000, 00:03:33, 92
2015-09-12 21:33:38 +0000, 00:03:34, 89
2015-09-12 21:33:39 +0000, 00:03:35, 88
2015-09-12 21:33:40 +0000, 00:03:36, 87
2015-09-12 21:33:41 +0000, 00:03:37, 89
2015-09-12 21:33:42 +0000, 00:03:38, 89
2015-09-12 21:33:43 +0000, 00:03:39, 89
2015-09-12 21:33:44 +0000, 00:03:40, 88
2015-09-12 21:33:45 +0000, 00:03:41, 88
2015-09-12 21:33:46 +0000, 00:03:42, 86
2015-09-12 21:33:47 +0000, 00:03:43, 85
2015-09-12 21:33:48 +0000, 00:03:44, 83
2015-09-12 21:33:49 +0000, 00:03:45, 82
2015-09-12 21:33:50 +0000, 00:03:46, 80
2015-09-12 21:33:51 +0000, 00:03:47, 78
2015-09-12 21:33:52 +0000, 00:03:48, 78
2015-09-12 21:33:53 +0000, 00:03:49, 77
2015-09-12 21:33:54 +0000, 00:03:50, 75
2015-09-12 21:33:55 +0000, 00:03:51, 74
