date, rr, since start
2015-09-12 21:30:10 +0000, 779, 1558
2015-09-12 21:30:10 +0000, 868, 2426
2015-09-12 21:30:11 +0000, 917, 3343
2015-09-12 21:30:12 +0000, 839, 4182
2015-09-12 21:30:13 +0000, 724, 4906
2015-09-12 21:30:14 +0000, 722, 5628
2015-09-12 21:30:14 +0000, 816, 6444
2015-09-12 21:30:15 +0000, 799, 7243
2015-09-12 21:30:16 +0000, 804, 8047
2015-09-12 21:30:17 +0000, 841, 8888
2015-09-12 21:30:18 +0000, 825, 9713
2015-09-12 21:30:18 +0000, 819, 10532
2015-09-12 21:30:19 +0000, 794, 11326
2015-09-12 21:30:20 +0000, 780, 12106
2015-09-12 21:30:21 +0000, 761, 12867
2015-09-12 21:30:22 +0000, 746, 13613
2015-09-12 21:30:22 +0000, 820, 14433
2015-09-12 21:30:23 +0000, 805, 15238
2015-09-12 21:30:24 +0000, 692, 15930
2015-09-12 21:30:25 +0000, 658, 16588
2015-09-12 21:30:25 +0000, 627, 17215
2015-09-12 21:30:26 +0000, 606, 17821
2015-09-12 21:30:26 +0000, 602, 18423
2015-09-12 21:30:27 +0000, 593, 19016
2015-09-12 21:30:28 +0000, 577, 19593
2015-09-12 21:30:28 +0000, 567, 20160
2015-09-12 21:30:29 +0000, 566, 20726
2015-09-12 21:30:29 +0000, 563, 21289
2015-09-12 21:30:30 +0000, 565, 21854
2015-09-12 21:30:30 +0000, 567, 22421
2015-09-12 21:30:31 +0000, 576, 22997
2015-09-12 21:30:32 +0000, 576, 23573
2015-09-12 21:30:32 +0000, 578, 24151
2015-09-12 21:30:33 +0000, 600, 24751
2015-09-12 21:30:33 +0000, 630, 25381
2015-09-12 21:30:34 +0000, 665, 26046
2015-09-12 21:30:35 +0000, 760, 26806
2015-09-12 21:30:35 +0000, 682, 27488
2015-09-12 21:30:36 +0000, 733, 28221
2015-09-12 21:30:37 +0000, 784, 29005
2015-09-12 21:30:38 +0000, 755, 29760
2015-09-12 21:30:38 +0000, 772, 30532
2015-09-12 21:30:39 +0000, 801, 31333
2015-09-12 21:30:40 +0000, 811, 32144
2015-09-12 21:30:41 +0000, 755, 32899
2015-09-12 21:30:42 +0000, 845, 33744
2015-09-12 21:30:44 +0000, 816, 34560
2015-09-12 21:30:44 +0000, 806, 35366
2015-09-12 21:30:44 +0000, 738, 36104
2015-09-12 21:30:45 +0000, 751, 36855
2015-09-12 21:30:46 +0000, 808, 37663
2015-09-12 21:30:46 +0000, 820, 38483
2015-09-12 21:30:47 +0000, 795, 39278
2015-09-12 21:30:48 +0000, 784, 40062
2015-09-12 21:30:50 +0000, 750, 40812
2015-09-12 21:30:50 +0000, 735, 41547
2015-09-12 21:30:50 +0000, 771, 42318
2015-09-12 21:30:51 +0000, 833, 43151
2015-09-12 21:30:52 +0000, 779, 43930
2015-09-12 21:30:53 +0000, 810, 44740
2015-09-12 21:30:54 +0000, 864, 45604
2015-09-12 21:30:54 +0000, 835, 46439
2015-09-12 21:30:55 +0000, 805, 47244
2015-09-12 21:30:56 +0000, 814, 48058
2015-09-12 21:30:57 +0000, 768, 48826
2015-09-12 21:30:58 +0000, 770, 49596
2015-09-12 21:30:58 +0000, 833, 50429
2015-09-12 21:30:59 +0000, 854, 51283
2015-09-12 21:31:01 +0000, 828, 52111
2015-09-12 21:31:01 +0000, 880, 52991
2015-09-12 21:31:03 +0000, 880, 53871
2015-09-12 21:31:04 +0000, 839, 54710
2015-09-12 21:31:05 +0000, 879, 55589
2015-09-12 21:31:05 +0000, 921, 56510
2015-09-12 21:31:06 +0000, 899, 57409
2015-09-12 21:31:07 +0000, 874, 58283
2015-09-12 21:31:08 +0000, 863, 59146
2015-09-12 21:31:09 +0000, 881, 60027
2015-09-12 21:31:10 +0000, 864, 60891
2015-09-12 21:31:11 +0000, 869, 61760
2015-09-12 21:31:12 +0000, 878, 62638
2015-09-12 21:31:12 +0000, 875, 63513
2015-09-12 21:31:13 +0000, 832, 64345
2015-09-12 21:31:14 +0000, 875, 65220
2015-09-12 21:31:15 +0000, 906, 66126
2015-09-12 21:31:16 +0000, 886, 67012
2015-09-12 21:31:17 +0000, 847, 67859
2015-09-12 21:31:18 +0000, 861, 68720
2015-09-12 21:31:19 +0000, 845, 69565
2015-09-12 21:31:19 +0000, 791, 70356
2015-09-12 21:31:20 +0000, 822, 71178
2015-09-12 21:31:21 +0000, 836, 72014
2015-09-12 21:31:22 +0000, 808, 72822
2015-09-12 21:31:22 +0000, 851, 73673
2015-09-12 21:31:23 +0000, 885, 74558
2015-09-12 21:31:23 +0000, 778, 75336
2015-09-12 21:31:24 +0000, 742, 76078
2015-09-12 21:31:25 +0000, 755, 76833
2015-09-12 21:31:26 +0000, 771, 77604
2015-09-12 21:31:26 +0000, 714, 78318
2015-09-12 21:31:27 +0000, 745, 79063
2015-09-12 21:31:28 +0000, 790, 79853
2015-09-12 21:31:29 +0000, 805, 80658
2015-09-12 21:31:29 +0000, 701, 81359
2015-09-12 21:31:30 +0000, 685, 82044
2015-09-12 21:31:31 +0000, 643, 82687
2015-09-12 21:31:31 +0000, 612, 83299
2015-09-12 21:31:32 +0000, 590, 83889
2015-09-12 21:31:32 +0000, 575, 84464
2015-09-12 21:31:33 +0000, 571, 85035
2015-09-12 21:31:34 +0000, 564, 85599
2015-09-12 21:31:34 +0000, 582, 86181
2015-09-12 21:31:35 +0000, 621, 86802
2015-09-12 21:31:35 +0000, 648, 87450
2015-09-12 21:31:36 +0000, 633, 88083
2015-09-12 21:31:37 +0000, 650, 88733
2015-09-12 21:31:37 +0000, 667, 89400
2015-09-12 21:31:38 +0000, 660, 90060
2015-09-12 21:31:39 +0000, 700, 90760
2015-09-12 21:31:39 +0000, 675, 91435
2015-09-12 21:31:40 +0000, 687, 92122
2015-09-12 21:31:41 +0000, 758, 92880
2015-09-12 21:31:42 +0000, 769, 93649
2015-09-12 21:31:42 +0000, 740, 94389
2015-09-12 21:31:43 +0000, 704, 95093
2015-09-12 21:31:44 +0000, 736, 95829
2015-09-12 21:31:45 +0000, 738, 96567
2015-09-12 21:31:45 +0000, 705, 97272
2015-09-12 21:31:46 +0000, 681, 97953
2015-09-12 21:31:47 +0000, 705, 98658
2015-09-12 21:31:47 +0000, 727, 99385
2015-09-12 21:31:48 +0000, 721, 100106
2015-09-12 21:31:49 +0000, 710, 100816
2015-09-12 21:31:50 +0000, 698, 101514
2015-09-12 21:31:50 +0000, 658, 102172
2015-09-12 21:31:51 +0000, 657, 102829
2015-09-12 21:31:53 +0000, 679, 103508
2015-09-12 21:31:53 +0000, 742, 104250
2015-09-12 21:31:53 +0000, 668, 104918
2015-09-12 21:31:54 +0000, 741, 105659
2015-09-12 21:31:54 +0000, 724, 106383
2015-09-12 21:31:55 +0000, 703, 107086
2015-09-12 21:31:56 +0000, 676, 107762
2015-09-12 21:31:56 +0000, 696, 108458
2015-09-12 21:31:57 +0000, 683, 109141
2015-09-12 21:31:58 +0000, 681, 109822
2015-09-12 21:31:58 +0000, 661, 110483
2015-09-12 21:31:59 +0000, 648, 111131
2015-09-12 21:32:00 +0000, 700, 111831
